PlayerId,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,Salary,ID,Tm_Id,AllStar
Lindsey Hunter DET,2000,Lindsey Hunter,PG,29,DET,3,3,93,5.6,0.361,0.281,0.188,0,9.9,4.8,11.3,2.9,0.9,12.6,20.8,-0.3,0.2,-0.2,-0.08,-5.6,1.9,-3.8,0,10,32,0.313,1,9,0.111,9,23,0.391,0.328,4,6,0.667,0,7,7,5,5,1,5,4,25,31.0,0.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,8.333333333333334,2350000,283,1610612749,0
Allen Iverson PHI,2000,Allen Iverson,SG,24,PHI,10,10,444,16.6,0.472,0.165,0.388,3.5,7.1,5.3,20.3,1.5,0.2,10.3,32,0.3,0,0.4,0.04,0.6,-0.5,0.1,0.2,91,237,0.384,12,39,0.308,79,198,0.399,0.409,68,92,0.739,14,26,40,45,12,1,32,24,262,44.4,1.4,2.6,4.0,4.5,1.2,0.1,3.2,2.4,26.2,9000000,947,1610612755,1
Bobby Jackson MIN,2000,Bobby Jackson,PG,26,MIN,3,0,30,26.5,0.705,0.375,0.75,0,23.9,11.4,23,3.9,2.8,15.8,21.1,0.1,0.1,0.2,0.305,3.9,4.7,8.6,0.1,4,8,0.5,1,3,0.333,3,5,0.6,0.563,6,6,1,0,5,5,4,2,1,2,4,15,10.0,0.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.3333333333333333,5.0,903360,1517,1610612758,0
Jaren Jackson SAS,2000,Jaren Jackson,SG,32,SAS,2,0,19,3.3,0.21,0.333,1.333,0,5.3,2.7,17.9,2.8,0,0,11.4,0,0,0,0.001,-3.4,0.1,-3.3,0,0,3,0,0,1,0,0,2,0,0,2,4,0.5,0,1,1,2,1,0,0,1,2,9.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,1.0,2483333,1114,1610612759,0
Avery Johnson SAS,2000,Avery Johnson,PG,34,SAS,4,4,144,11.8,0.498,0,0.333,1.4,4.9,3.2,31.9,1.5,0,17.2,18.3,0,0.3,0.3,0.092,1,-1.8,-0.8,0,19,42,0.452,0,0,0,19,42,0.452,0.452,10,14,0.714,2,7,9,21,4,0,10,10,48,36.0,0.5,1.75,2.25,5.25,1.0,0.0,2.5,2.5,12.0,3200000,422,1610612759,0
Ervin Johnson MIL,2000,Ervin Johnson,C,32,MIL,5,5,155,14.2,0.555,0,0.9,10.8,24.3,17.9,1.8,2.1,2.8,9.7,9.2,0.3,0.2,0.5,0.156,-1.1,3.9,2.8,0.2,10,20,0.5,0,0,0,10,20,0.5,0.5,11,18,0.611,14,35,49,2,6,6,3,19,31,31.0,2.8,7.0,9.8,0.4,1.2,1.2,0.6,3.8,6.2,2951029,911,1610612749,0
Jumaine Jones PHI,2000,Jumaine Jones,SF,20,PHI,4,0,8,1.4,0.333,0.667,0,0,0,0,0,0,0,0,17.2,0,0,0,-0.116,-5.1,-3.9,-9,0,1,3,0.333,0,2,0,1,1,1,0.333,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,684000,1908,1610612755,0
Jerome Kersey SAS,2000,Jerome Kersey,SF,37,SAS,2,0,25,0.2,0.143,0,0,8.3,8,8.1,7.3,4.2,2.8,12.5,14.5,-0.1,0.1,0,-0.072,-6.1,4.8,-1.4,0,1,7,0.143,0,0,0,1,7,0.143,0.143,0,0,0,2,2,4,1,2,1,1,5,2,12.5,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.5,1.0,1000000,760,1610612749,0
Travis Knight LAL,2000,Travis Knight,C,25,LAL,14,0,48,3.7,0.51,0,0.4,7,4.9,6,0,1.1,4.9,25.4,22.3,-0.1,0,-0.1,-0.094,-8.4,-0.8,-9.2,-0.1,8,15,0.533,0,0,0,8,15,0.533,0.533,2,6,0.333,3,2,5,0,1,3,6,16,18,3.4285714285714284,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.0,0.07142857142857142,0.21428571428571427,0.42857142857142855,1.1428571428571428,1.2857142857142858,2800000,969,1610612752,0
Toni Kukoc PHI,2000,Toni Kukoc,SF,31,PHI,10,0,257,10.9,0.463,0.366,0.183,3.1,14.2,8.4,11.7,2.1,1,13,20.6,-0.1,0.2,0.1,0.013,-1.7,1.8,0.1,0.1,36,93,0.387,11,34,0.324,25,59,0.424,0.446,10,17,0.588,7,30,37,17,10,3,15,26,93,25.7,0.7,3.0,3.7,1.7,1.0,0.3,1.5,2.6,9.3,4500000,389,1610612737,0
Christian Laettner DET,2000,Christian Laettner,C,30,DET,3,3,75,8.6,0.487,0,0.471,3.3,22.7,12.7,16.3,0,1.1,12.8,15.3,0,0.1,0.1,0.077,-3.1,2,-1.1,0,7,17,0.412,0,0,0,7,17,0.412,0.412,6,8,0.75,2,13,15,6,0,1,3,14,20,25.0,0.6666666666666666,4.333333333333333,5.0,2.0,0.0,0.3333333333333333,1.0,4.666666666666667,6.666666666666667,6062500,363,1610612764,0
George Lynch PHI,2000,George Lynch,SF,29,PHI,10,10,293,10.2,0.405,0.108,0.277,9.9,18.7,14.1,7.6,1.7,1.4,9.9,12.7,0.1,0.2,0.3,0.049,-2.5,3.7,1.2,0.2,22,65,0.338,1,7,0.143,21,58,0.362,0.346,14,18,0.778,26,45,71,14,9,5,8,33,59,29.3,2.6,4.5,7.1,1.4,0.9,0.5,0.8,3.3,5.9,2000000,248,1610612755,0
