Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2000,Lawrence Funderburke,PF,29,SAC,4,34,16.2,0.465,0,0.444,12.6,20.8,16.8,0,1.5,0,0,14.3,,0.1,0,0.1,0.087,,-5.8,-1.1,-6.9,0
2000,Kevin Garnett,PF,23,MIN,4,171,20.5,0.441,0.038,0.205,9.9,25.1,17.2,38,1.7,1.5,11.5,28.1,,0.2,0.2,0.4,0.102,,1.4,4.8,6.2,0.4
2000,Dean Garrett,C,33,MIN,3,16,9.3,0.521,0,1,8.2,9,8.5,0,0,5.3,0,9,,0,0,0,0.093,,-4.3,1,-3.3,0
2000,Matt Geiger,C,30,PHI,8,128,24,0.574,0,0.5,14.9,21.8,18.2,3.1,2.1,1.3,7.6,23.7,,0.5,0.1,0.6,0.227,,1.3,-0.4,0.9,0.1
2000,Devean George,SF,22,LAL,9,45,13,0.461,0.526,0.579,9.9,15.7,12.7,7.2,1.2,0,11.2,27,,0,0,0,0.024,,-1,-3.2,-4.2,0
2000,Armen Gilliam,PF,35,UTA,10,132,2.9,0.338,0,0.283,5.6,20.1,13.1,5.3,1.7,2.4,17.5,22.8,,-0.6,0.2,-0.4,-0.147,,-11.2,1.3,-9.9,-0.3
2000,Brian Grant,PF,27,POR,16,320,12.3,0.529,0,0.6,14.7,21.7,18.2,4.3,1,1.5,17.1,15.1,,0.4,0.4,0.8,0.126,,-1.2,1.7,0.5,0.2
2000,Gary Grant,PG,34,POR,2,8,-2.1,0.174,0,1,0,0,0,18.5,0,0,0,17.6,,0,0,0,-0.184,,-10.9,-6,-16.9,0
2000,Horace Grant,PF,34,SEA,5,185,10.2,0.417,0,0.148,4.8,15,9.7,8.1,2.3,2,3.4,7.4,,0.1,0.2,0.3,0.081,,-2.4,5.3,2.8,0.2
2000,A.C. Green,PF,36,LAL,23,429,10.6,0.449,0,0.256,11.2,14.6,12.8,4.4,1.7,0.6,8.2,11.5,,0.4,0.2,0.6,0.071,,-2.3,1.6,-0.7,0.1
